@timestamp,method,req_path,domain,rsp_code,rsp_code_details,src_ip,total_duration_seconds,rsp_size,country,response_flags
2026-03-14T20:57:58.227Z,GET,/,www.qatarenergylng.qa,301,via_upstream,5.134.119.46,,1780,ES,
2026-03-14T20:57:58.227Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,5.134.119.46,,111084,ES,
2026-03-14T20:57:47.446Z,GET,/,www.qatarenergylng.qa,301,via_upstream,176.58.98.218,,1781,GB,
2026-03-14T20:57:44.464Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,176.58.98.218,,110920,GB,
2026-03-14T20:57:43.004Z,GET,/,qatarenergylng.qa,301,via_upstream,176.58.98.218,,387,GB,
2026-03-14T20:57:42.315Z,GET,/english/MediaCenter/pageindex987/60/94e7b0fe-b94a-4e6a-a309-83fcecb61d7a,www.qatarenergylng.qa,200,via_upstream,198.244.183.246,,178261,GB,
2026-03-14T20:57:00.277Z,GET,/english/MediaCenter/pageindex987/18/Qatargas-utilises-boil-off-gas-to-power-LNG-vessels,www.qatarenergylng.qa,200,via_upstream,114.119.156.56,,177246,SG,
2026-03-14T20:56:53.271Z,GET,/Portals/0/xBlog/uploads/2024/3/25/NorthField.jpg,www.qatarenergylng.qa,200,via_upstream,91.174.93.38,,95450,FR,
2026-03-15T01:02:39.133Z,GET,/,www.qatarenergylng.qa,301,via_upstream,23.106.38.147,,1781,GB,
2026-03-15T01:02:36.080Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,23.106.38.147,,110968,GB,
2026-03-15T01:02:35.216Z,GET,/,qatarenergylng.qa,301,via_upstream,23.106.38.147,,387,GB,
2026-03-15T01:02:01.307Z,GET,/english,www.qatarenergylng.qa,200,via_upstream,175.165.188.168,,111602,CN,
2026-03-15T01:01:58.477Z,GET,/Portals/0/DNNGalleryPro/uploads/2025/11/12/QatarEnergyLNGSustainabilityReport2024-EN.pdf,www.qatarenergylng.qa,200,http2.remote_reset,23.98.142.176,,26030,US,
2026-03-15T01:01:52.497Z,GET,/english,www.qatarenergylng.qa,200,via_upstream,49.79.125.202,,111620,CN,
2026-03-15T01:01:49.693Z,GET,/.well-known/traffic-advice,www.qatarenergylng.qa,301,via_upstream,142.250.33.64,,1761,US,
2026-03-15T01:01:48.011Z,GET,/,qatarenergylng.qa,301,via_upstream,34.74.242.206,,401,US,
2026-03-15T01:01:41.115Z,GET,/english/MediaCenter/pageindex987/14/Qatargas-delivers-first-Q-Flex-LNG-cargo-to-Zhoushan-terminal-in-China,www.qatarenergylng.qa,200,via_upstream,114.119.150.38,,177689,SG,
2026-03-15T01:01:29.611Z,GET,/english/desktopmodules/Adv.Modules.QG.News.API.Services/API/News/GetArticles,www.qatarenergylng.qa,200,via_upstream,4.170.17.149,,5124,QA,
2026-03-15T01:01:27.523Z,GET,/english,www.qatarenergylng.qa,200,via_upstream,119.41.197.200,,111788,CN,
2026-03-15T01:01:22.675Z,GET,/,qatarenergylng.qa,301,via_upstream,20.215.220.115,,387,PL,
2026-03-15T01:01:22.214Z,GET,/,www.qatarenergylng.qa,301,via_upstream,162.223.228.142,,1780,CA,
2026-03-15T01:01:21.098Z,GET,/,www.qatarenergylng.qa,301,via_upstream,20.215.220.112,,1781,PL,
2026-03-15T01:01:20.097Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,20.215.220.112,,111820,PL,
2026-03-15T01:01:19.630Z,GET,/,www.qatarenergylng.qa,301,via_upstream,185.230.211.237,,1779,SA,
2026-03-15T01:01:19.630Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,185.230.211.237,,110913,SA,
